"date","nusuarios","ntrials","nusuariosnuevos","ntrialsnuevos","ntrialsservidor"
1508440907.731199,9154,2728346,0,892,2348238
1508444521.217938,9154,2729173,0,827,2349066
1508448182.24527,9157,2730125,3,952,2350021
1508451664.884388,9160,2731090,3,965,2350987
1508455267.6274,9162,2731715,2,625,2351612
1508458873.102331,9162,2732260,0,545,2352157
1508462516.838727,9165,2733561,3,1301,2353459
1508466087.119452,9165,2734225,0,664,2354125
1508469685.34152,9166,2734717,1,492,2354617
1508473294.652337,9167,2735307,1,590,2355209
1508476899.027483,9171,2735817,4,510,2355719
1508480503.364064,9172,2736389,1,572,2356291
1508484091.254416,9172,2736428,0,39,2356330
1508487690.558536,9172,2736474,0,46,2356376
1508491290.134486,9172,2736494,0,20,2356396
1508495057.496723,9172,2736627,0,133,2356529
1508498508.294131,9172,2737059,0,432,2356961
1508502108.20451,9173,2737665,1,606,2357569
1508505711.9539,9176,2738139,3,474,2358040
1508509469.118347,9177,2738328,1,189,2358234
1508516751.410603,9183,2740494,6,2166,2360397
1508520060.038599,9187,2740668,4,174,2360575
1508523664.802688,9191,2741088,4,420,2360996
1508527273.677789,9193,2741915,2,827,2361824
1508530885.970686,9196,2743361,3,1446,2363269
1508534478.747832,9196,2743934,0,573,2363847
1508538080.243219,9197,2744352,1,418,2364266
1508541692.326784,9199,2745054,2,702,2364972
1508545300.801841,9201,2746214,2,1160,2366132
1508548910.160912,9203,2747067,2,853,2366987
1508552509.369382,9206,2747882,3,815,2367798
1508556120.198788,9208,2748664,2,782,2368579
1508559724.178662,9209,2749328,1,664,2369244
1508563326.221815,9210,2749715,1,387,2369637
1508566928.341872,9210,2750009,0,294,2369931
1508570580.188186,9210,2750141,0,132,2370063
1508574052.34636,9211,2750167,1,26,2370089
1508577654.108136,9211,2750236,0,69,2370158
1508581406.946355,9211,2750438,0,202,2370164
1508584882.830444,9211,2750926,0,488,2370848
1508588474.996296,9212,2751712,1,786,2371635
1508592081.973216,9214,2752351,2,639,2372275
1508595684.557956,9219,2753155,5,804,2373081
1508599462.963415,9221,2754276,2,1121,2374203
1508603064.919422,9224,2755036,3,760,2374777
1508606681.046864,9230,2756210,6,1174,2376096
1508610121.325435,9232,2758131,2,1921,2378065
1508613721.73265,9234,2758877,2,746,2378812
1508617329.363718,9234,2759798,0,921,2379734
1508620982.842567,9235,2760373,1,575,2380309
1508624476.457467,9238,2761782,3,1409,2381718
1508628077.782696,9239,2762297,1,515,2382233
